quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Cờ Đỏ,Thị trấn Cờ Đỏ,Khu vực 1,Khu vực
Cờ Đỏ,Thị trấn Cờ Đỏ,Khu vực 2,Khu vực
Cờ Đỏ,Thị trấn Cờ Đỏ,Khu vực 3,Khu vực
Cờ Đỏ,Đông Hiệp,Đông Phú,Ấp
Cờ Đỏ,Đông Hiệp,Đông Thạnh,Ấp
Cờ Đỏ,Đông Hiệp,Đông Hưng,Ấp
Cờ Đỏ,Đông Hiệp,Đông Bình,Ấp
Cờ Đỏ,Đông Thắng,Đông Thuận,Ấp
Cờ Đỏ,Đông Thắng,Đông Hiệp,Ấp
Cờ Đỏ,Đông Thắng,Đông Lợi,Ấp
Cờ Đỏ,Thạnh Phú,Thạnh Lợi,Ấp
Cờ Đỏ,Thạnh Phú,Thạnh Hòa 1,Ấp
Cờ Đỏ,Thạnh Phú,Thạnh Hòa 2,Ấp
Cờ Đỏ,Thới Hưng,Thới Lợi,Ấp
Cờ Đỏ,Thới Hưng,Thới Bình,Ấp
Cờ Đỏ,Thới Hưng,Thới Hòa,Ấp
Cờ Đỏ,Thới Hưng,Thới Xuân,Ấp
Cờ Đỏ,Trung An,Trung Hưng,Ấp
Cờ Đỏ,Trung An,Trung Thạnh,Ấp
Cờ Đỏ,Trung An,Trung Lợi,Ấp
Cờ Đỏ,Trung Hưng,Trung Thành,Ấp
Cờ Đỏ,Trung Hưng,Trung Hòa,Ấp
Cờ Đỏ,Trung Hưng,Trung Định,Ấp
Cờ Đỏ,Trung Thạnh,Trung Lập,Ấp
Cờ Đỏ,Trung Thạnh,Trung Bình,Ấp
Cờ Đỏ,Trung Thạnh,Trung Dũng,Ấp
Cờ Đỏ,Trung Xuân,Trung Tín,Ấp
Cờ Đỏ,Trung Xuân,Trung Nghĩa,Ấp
Cờ Đỏ,Trung Xuân,Trung Hiếu,Ấp
