quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Phong Điền,Thị trấn Phong Điền,Khu vực 1,Khu vực
Phong Điền,Thị trấn Phong Điền,Khu vực 2,Khu vực
Phong Điền,Thị trấn Phong Điền,Khu vực 3,Khu vực
Phong Điền,Thị trấn Phong Điền,Khu vực 4,Khu vực
Phong Điền,Giai Xuân,Ấp 1,Ấp
Phong Điền,Giai Xuân,Ấp 2,Ấp
Phong Điền,Giai Xuân,Ấp 3,Ấp
Phong Điền,Giai Xuân,Ấp 4,Ấp
Phong Điền,Mỹ Khánh,Mỹ Nhơn,Ấp
Phong Điền,Mỹ Khánh,Mỹ Phú,Ấp
Phong Điền,Mỹ Khánh,Mỹ Hòa,Ấp
Phong Điền,Mỹ Khánh,Mỹ Lợi,Ấp
Phong Điền,Mỹ Khánh,Mỹ Thuận,Ấp
Phong Điền,Mỹ Khánh,Mỹ Á,Ấp
Phong Điền,Nhơn Ái,Nhơn Lộc 1,Ấp
Phong Điền,Nhơn Ái,Nhơn Lộc 2,Ấp
Phong Điền,Nhơn Ái,Nhơn Lợi,Ấp
Phong Điền,Nhơn Ái,Nhơn Thuận,Ấp
Phong Điền,Nhơn Ái,Nhơn Thọ 1,Ấp
Phong Điền,Nhơn Ái,Nhơn Thọ 2,Ấp
Phong Điền,Nhơn Nghĩa,Nhơn Lộc 3,Ấp
Phong Điền,Nhơn Nghĩa,Nhơn Phú,Ấp
Phong Điền,Nhơn Nghĩa,Nhơn Thạnh,Ấp
Phong Điền,Nhơn Nghĩa,Nhơn Hưng,Ấp
Phong Điền,Tân Thới,Ấp 1,Ấp
Phong Điền,Tân Thới,Ấp 2,Ấp
Phong Điền,Tân Thới,Ấp 3,Ấp
Phong Điền,Tân Thới,Ấp 4,Ấp
Phong Điền,Tân Thới,Ấp 5,Ấp
Phong Điền,Trường Long,Trường Hòa,Ấp
Phong Điền,Trường Long,Trường Thuận,Ấp
Phong Điền,Trường Long,Trường Phú,Ấp
Phong Điền,Trường Long,Trường Thọ 1,Ấp
Phong Điền,Trường Long,Trường Thọ 2,Ấp
