quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Thới Lai,Thị trấn Thới Lai,Khu vực 1,Khu vực
Thới Lai,Thị trấn Thới Lai,Khu vực 2,Khu vực
Thới Lai,Thị trấn Thới Lai,Khu vực 3,Khu vực
Thới Lai,Định Môn,Định Thái,Ấp
Thới Lai,Định Môn,Định Phú,Ấp
Thới Lai,Định Môn,Định Hòa,Ấp
Thới Lai,Định Môn,Định Phước,Ấp
Thới Lai,Định Môn,Định Khánh,Ấp
Thới Lai,Đông Bình,Đông An,Ấp
Thới Lai,Đông Bình,Đông Thạnh,Ấp
Thới Lai,Đông Bình,Đông Lợi,Ấp
Thới Lai,Đông Bình,Đông Phước,Ấp
Thới Lai,Đông Thuận,Đông Phú,Ấp
Thới Lai,Đông Thuận,Đông Hưng,Ấp
Thới Lai,Đông Thuận,Đông Bình,Ấp
Thới Lai,Đông Thuận,Đông Hòa,Ấp
Thới Lai,Tân Thạnh,Tân Lợi,Ấp
Thới Lai,Tân Thạnh,Tân Hòa,Ấp
Thới Lai,Tân Thạnh,Tân An,Ấp
Thới Lai,Tân Thạnh,Tân Thạnh,Ấp
Thới Lai,Thới Tân,Thới Lợi A,Ấp
Thới Lai,Thới Tân,Thới Lợi B,Ấp
Thới Lai,Thới Tân,Thới Hòa,Ấp
Thới Lai,Thới Tân,Thới Thạnh,Ấp
Thới Lai,Thới Thạnh,Thới Thạnh A,Ấp
Thới Lai,Thới Thạnh,Thới Thạnh B,Ấp
Thới Lai,Thới Thạnh,Thới An,Ấp
Thới Lai,Trường Xuân,Trường Khương,Ấp
Thới Lai,Trường Xuân,Trường Lộc,Ấp
Thới Lai,Trường Xuân,Trường Đông,Ấp
Thới Lai,Trường Xuân,Trường Thuận,Ấp
Thới Lai,Trường Xuân A,Trường Yên,Ấp
Thới Lai,Trường Xuân A,Trường Phú,Ấp
Thới Lai,Trường Xuân A,Trường Hòa,Ấp
Thới Lai,Trường Xuân B,Trường Thọ,Ấp
Thới Lai,Trường Xuân B,Trường Khương A,Ấp
Thới Lai,Trường Xuân B,Trường Khương B,Ấp
