quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Vĩnh Thạnh,Thị trấn Vĩnh Thạnh,Khu vực 1,Khu vực
Vĩnh Thạnh,Thị trấn Vĩnh Thạnh,Khu vực 2,Khu vực
Vĩnh Thạnh,Thị trấn Vĩnh Thạnh,Khu vực 3,Khu vực
Vĩnh Thạnh,Thị trấn Thạnh An,Khu vực 1,Khu vực
Vĩnh Thạnh,Thị trấn Thạnh An,Khu vực 2,Khu vực
Vĩnh Thạnh,Thị trấn Thạnh An,Khu vực 3,Khu vực
Vĩnh Thạnh,Thạnh Lộc,Thạnh Lộc 1,Ấp
Vĩnh Thạnh,Thạnh Lộc,Thạnh Lộc 2,Ấp
Vĩnh Thạnh,Thạnh Lộc,Thạnh Hưng,Ấp
Vĩnh Thạnh,Thạnh Lợi,Thạnh Lợi 1,Ấp
Vĩnh Thạnh,Thạnh Lợi,Thạnh Lợi 2,Ấp
Vĩnh Thạnh,Thạnh Lợi,Thạnh Hòa,Ấp
Vĩnh Thạnh,Thạnh Mỹ,Thạnh Mỹ 1,Ấp
Vĩnh Thạnh,Thạnh Mỹ,Thạnh Mỹ 2,Ấp
Vĩnh Thạnh,Thạnh Quới,Thạnh Quới 1,Ấp
Vĩnh Thạnh,Thạnh Quới,Thạnh Quới 2,Ấp
Vĩnh Thạnh,Thạnh Thắng,Thạnh Thắng 1,Ấp
Vĩnh Thạnh,Thạnh Thắng,Thạnh Thắng 2,Ấp
Vĩnh Thạnh,Thạnh Thắng,Thạnh Thắng 3,Ấp
Vĩnh Thạnh,Thạnh Tiến,Thạnh Tiến 1,Ấp
Vĩnh Thạnh,Thạnh Tiến,Thạnh Tiến 2,Ấp
Vĩnh Thạnh,Vĩnh Bình,Vĩnh Bình 1,Ấp
Vĩnh Thạnh,Vĩnh Bình,Vĩnh Bình 2,Ấp
Vĩnh Thạnh,Vĩnh Bình,Vĩnh Tiến,Ấp
