quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Ninh Kiều,An Bình,Khu vực 1,Khu vực
Ninh Kiều,An Bình,Khu vực 2,Khu vực
Ninh Kiều,An Bình,Khu vực 3,Khu vực
Ninh Kiều,An Bình,Khu vực 4,Khu vực
Ninh Kiều,An Bình,Khu vực 5,Khu vực
Ninh Kiều,An Bình,Khu vực 6,Khu vực
Ninh Kiều,An Bình,Khu vực 7,Khu vực
Ninh Kiều,An Bình,Khu vực 8,Khu vực
Ninh Kiều,An Hòa,Khu vực 1,Khu vực
Ninh Kiều,An Hòa,Khu vực 2,Khu vực
Ninh Kiều,An Hòa,Khu vực 3,Khu vực
Ninh Kiều,An Hòa,Khu vực 4,Khu vực
Ninh Kiều,An Hòa,Khu vực 5,Khu vực
Ninh Kiều,An Khánh,Khu vực 1,Khu vực
Ninh Kiều,An Khánh,Khu vực 2,Khu vực
Ninh Kiều,An Khánh,Khu vực 3,Khu vực
Ninh Kiều,An Khánh,Khu vực 4,Khu vực
Ninh Kiều,An Khánh,Khu vực 5,Khu vực
Ninh Kiều,An Khánh,Khu vực 6,Khu vực
Ninh Kiều,An Khánh,Khu vực 7,Khu vực
Ninh Kiều,An Khánh,Khu vực 8,Khu vực
Ninh Kiều,Cái Khế,Khu vực 1,Khu vực
Ninh Kiều,Cái Khế,Khu vực 2,Khu vực
Ninh Kiều,Cái Khế,Khu vực 3,Khu vực
Ninh Kiều,Cái Khế,Khu vực 4,Khu vực
Ninh Kiều,Cái Khế,Khu vực 5,Khu vực
Ninh Kiều,Cái Khế,Khu vực 6,Khu vực
Ninh Kiều,Cái Khế,Khu vực 7,Khu vực
Ninh Kiều,Cái Khế,Khu vực 8,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 1,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 2,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 3,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 4,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 5,Khu vực
Ninh Kiều,Hưng Lợi,Khu vực 6,Khu vực
Ninh Kiều,Tân An,Khu vực 1,Khu vực
Ninh Kiều,Tân An,Khu vực 2,Khu vực
Ninh Kiều,Tân An,Khu vực 3,Khu vực
Ninh Kiều,Tân An,Khu vực 4,Khu vực
Ninh Kiều,Tân An,Khu vực 5,Khu vực
Ninh Kiều,Tân An,Khu vực 6,Khu vực
Ninh Kiều,Tân An,Khu vực 7,Khu vực
Ninh Kiều,Tân An,Khu vực 8,Khu vực
Ninh Kiều,Tân An,Khu vực 9,Khu vực
Ninh Kiều,Tân An,Khu vực 10,Khu vực
Ninh Kiều,Tân An,Khu vực 11,Khu vực
Ninh Kiều,Tân An,Khu vực 12,Khu vực
Ninh Kiều,Tân An,Khu vực 13,Khu vực
Ninh Kiều,Tân An,Khu vực 14,Khu vực
Ninh Kiều,Thới Bình,Khu vực 1,Khu vực
Ninh Kiều,Thới Bình,Khu vực 2,Khu vực
Ninh Kiều,Thới Bình,Khu vực 3,Khu vực
Ninh Kiều,Thới Bình,Khu vực 4,Khu vực
Ninh Kiều,Thới Bình,Khu vực 5,Khu vực
Ninh Kiều,Thới Bình,Khu vực 6,Khu vực
Ninh Kiều,Thới Bình,Khu vực 7,Khu vực
Ninh Kiều,Thới Bình,Khu vực 8,Khu vực
Ninh Kiều,Thới Bình,Khu vực 9,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 1,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 2,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 3,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 4,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 5,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 6,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 7,Khu vực
Ninh Kiều,Xuân Khánh,Khu vực 8,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 1,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 2,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 3,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 4,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 5,Khu vực
Ninh Kiều,An Nghiệp,Khu vực 6,Khu vực
Ninh Kiều,An Phú,Khu vực 1,Khu vực
Ninh Kiều,An Phú,Khu vực 2,Khu vực
Ninh Kiều,An Phú,Khu vực 3,Khu vực
Ninh Kiều,An Phú,Khu vực 4,Khu vực
Ninh Kiều,An Cư,Khu vực 1,Khu vực
Ninh Kiều,An Cư,Khu vực 2,Khu vực
Ninh Kiều,An Cư,Khu vực 3,Khu vực
Ninh Kiều,An Cư,Khu vực 4,Khu vực
Ninh Kiều,An Cư,Khu vực 5,Khu vực
Ninh Kiều,An Cư,Khu vực 6,Khu vực
Ninh Kiều,An Hội,Khu vực 1,Khu vực
Ninh Kiều,An Hội,Khu vực 2,Khu vực
Ninh Kiều,An Hội,Khu vực 3,Khu vực
Ninh Kiều,An Hội,Khu vực 4,Khu vực
Ninh Kiều,An Lạc,Khu vực 1,Khu vực
Ninh Kiều,An Lạc,Khu vực 2,Khu vực
Ninh Kiều,An Lạc,Khu vực 3,Khu vực
Ninh Kiều,An Lạc,Khu vực 4,Khu vực
Ninh Kiều,An Lạc,Khu vực 5,Khu vực
