quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Thốt Nốt,Thốt Nốt,Khu vực Phụng Thạnh 1,Khu vực
Thốt Nốt,Thốt Nốt,Khu vực Phụng Thạnh 2,Khu vực
Thốt Nốt,Thốt Nốt,Khu vực Long Thạnh A,Khu vực
Thốt Nốt,Thốt Nốt,Khu vực Long Thạnh B,Khu vực
Thốt Nốt,Thốt Nốt,Khu vực Tràng Thọ A,Khu vực
Thốt Nốt,Thốt Nốt,Khu vực Tràng Thọ B,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Bình 1,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Bình 2,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Hòa 1,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Hòa 2,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Tú,Khu vực
Thốt Nốt,Thới Thuận,Khu vực Thới Thạnh,Khu vực
Thốt Nốt,Thuận An,Khu vực Thới Phong,Khu vực
Thốt Nốt,Thuận An,Khu vực Thới Hòa,Khu vực
Thốt Nốt,Thuận An,Khu vực Thới Bình,Khu vực
Thốt Nốt,Thuận An,Khu vực Thới Thạnh,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Đông Bình,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Phước Lộc,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Tân An,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Trường Thọ 1,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Trường Thọ 2,Khu vực
Thốt Nốt,Tân Lộc,Khu vực Trường Thọ 3,Khu vực
Thốt Nốt,Trung Kiên,Khu vực Lân Thạnh 1,Khu vực
Thốt Nốt,Trung Kiên,Khu vực Lân Thạnh 2,Khu vực
Thốt Nốt,Trung Kiên,Khu vực Qui Thạnh 1,Khu vực
Thốt Nốt,Trung Kiên,Khu vực Qui Thạnh 2,Khu vực
Thốt Nốt,Trung Nhứt,Khu vực Phúc Lộc 1,Khu vực
Thốt Nốt,Trung Nhứt,Khu vực Phúc Lộc 2,Khu vực
Thốt Nốt,Trung Nhứt,Khu vực Phúc Lộc 3,Khu vực
Thốt Nốt,Trung Nhứt,Khu vực Tràng Thọ 1,Khu vực
Thốt Nốt,Trung Nhứt,Khu vực Tràng Thọ 2,Khu vực
Thốt Nốt,Thuận Hưng,Khu vực Tân Phước,Khu vực
Thốt Nốt,Thuận Hưng,Khu vực Tân Thạnh,Khu vực
Thốt Nốt,Thuận Hưng,Khu vực Tân Xuân,Khu vực
Thốt Nốt,Thuận Hưng,Khu vực Thới Thiện,Khu vực
Thốt Nốt,Tân Hưng,Khu vực Tân Phước,Khu vực
Thốt Nốt,Tân Hưng,Khu vực Tân Thạnh,Khu vực
Thốt Nốt,Tân Hưng,Khu vực Tân Lợi,Khu vực
Thốt Nốt,Thạnh Hòa,Khu vực Thạnh Phước,Khu vực
Thốt Nốt,Thạnh Hòa,Khu vực Thạnh Thắng,Khu vực
Thốt Nốt,Thạnh Hòa,Khu vực Thạnh Yên,Khu vực
