quan_huyen_cu,phuong_xa_cu,don_vi_moi_sau_sap_nhap
Ninh Kiều,Tân An,Phường Ninh Kiều
Ninh Kiều,Thới Bình,Phường Ninh Kiều
Ninh Kiều,Xuân Khánh,Phường Ninh Kiều
Ninh Kiều,An Cư,Phường Cái Khế
Ninh Kiều,An Lạc,Phường Cái Khế
Ninh Kiều,An Hội,Phường Cái Khế
Ninh Kiều,An Hòa,Phường Cái Khế
Ninh Kiều,Cái Khế,Phường Cái Khế
Ninh Kiều,An Khánh,Phường Tân An
Ninh Kiều,Hưng Lợi,Phường Tân An
Ninh Kiều,An Bình,Phường An Bình
Bình Thủy,An Thới,Phường Bình Thủy
Bình Thủy,Bình Thủy,Phường Bình Thủy
Bình Thủy,Bùi Hữu Nghĩa,Phường Bình Thủy
Bình Thủy,Long Hòa,Phường Long Tuyền
Bình Thủy,Long Tuyền,Phường Long Tuyền
Bình Thủy,Trà An,Phường Thới An Đông
Bình Thủy,Trà Nóc,Phường Thới An Đông
Bình Thủy,Thới An Đông,Phường Thới An Đông
Cái Răng,Lê Bình,Phường Cái Răng
Cái Răng,Ba Láng,Phường Cái Răng
Cái Răng,Thường Thạnh,Phường Cái Răng
Cái Răng,Hưng Thạnh,Phường Cái Răng
Cái Răng,Hưng Phú,Phường Hưng Phú
Cái Răng,Phú Thứ,Phường Hưng Phú
Cái Răng,Tân Phú,Phường Hưng Phú
Ô Môn,Châu Văn Liêm,Phường Ô Môn
Ô Môn,Thới Hòa,Phường Ô Môn
Ô Môn,Thới An,Phường Ô Môn
Ô Môn,Thới Thạnh,Phường Ô Môn
Ô Môn,Phước Thới,Phường Phước Thới
Ô Môn,Trường Lạc,Phường Phước Thới
Ô Môn,Thới Long,Phường Thới Long
Ô Môn,Long Hưng,Phường Thới Long
Ô Môn,Tân Hưng,Phường Thới Long
Thốt Nốt,Thuận An,Phường Thốt Nốt
Thốt Nốt,Trung Nhứt,Phường Thốt Nốt
Thốt Nốt,Tân Lộc,Phường Tân Lộc
Thốt Nốt,Thuận Hưng,Phường Thuận Hưng
Thốt Nốt,Trung Kiên,Phường Thuận Hưng
Thốt Nốt,Trung An,Phường Trung An
Thốt Nốt,Thạnh Hòa,Phường Trung An
Thốt Nốt,Tân Hưng,Phường Tân Hưng
Phong Điền,Thị trấn Phong Điền,Xã Phong Điền
Phong Điền,Tân Thới,Xã Phong Điền
Phong Điền,Giai Xuân,Xã Phong Điền
Phong Điền,Nhơn Ái,Xã Nhơn Ái
Phong Điền,Nhơn Nghĩa,Xã Nhơn Ái
Phong Điền,Trường Long,Xã Trường Long
Phong Điền,Mỹ Khánh,Phường An Bình
Thới Lai,Thị trấn Thới Lai,Xã Thới Lai
Thới Lai,Thới Tân,Xã Thới Lai
Thới Lai,Trường Thắng,Xã Thới Lai
Thới Lai,Đông Bình,Xã Đông Thuận
Thới Lai,Đông Thuận,Xã Đông Thuận
Thới Lai,Trường Xuân,Xã Trường Xuân
Thới Lai,Trường Xuân A,Xã Trường Xuân
Thới Lai,Trường Xuân B,Xã Trường Xuân
Cờ Đỏ,Thị trấn Cờ Đỏ,Xã Cờ Đỏ
Cờ Đỏ,Đông Hiệp,Xã Cờ Đỏ
Cờ Đỏ,Đông Thắng,Xã Cờ Đỏ
Cờ Đỏ,Trung Hưng,Xã Trung Hưng
Cờ Đỏ,Trung An,Xã Trung Hưng
Cờ Đỏ,Thới Hưng,Xã Thới Hưng
Cờ Đỏ,Thạnh Phú,Xã Thạnh Phú
Vĩnh Thạnh,Thị trấn Vĩnh Thạnh,Xã Vĩnh Thạnh
Vĩnh Thạnh,Vĩnh Trinh,Xã Vĩnh Thạnh
Vĩnh Thạnh,Thạnh An,Xã Thạnh An
Vĩnh Thạnh,Thạnh Mỹ,Xã Thạnh An
Vĩnh Thạnh,Vĩnh Bình,Xã Vĩnh Bình
Vĩnh Thạnh,Vĩnh Thuận,Xã Vĩnh Bình
Vĩnh Thạnh,Thạnh Lợi,Xã Thạnh Lợi
Vĩnh Thạnh,Thạnh Lộc,Xã Thạnh Lợi
